时间(s),输入信号(%),动态响应温度(℃)
4492,45.79870292642102,404.3041947911492
4493,45.818333587379556,404.3416172999288
4494,45.74170831108178,404.3860649966982
4495,45.52269289060701,404.43007471696393
4496,45.20172465212989,404.46700044211383
4497,44.8713431684718,404.4946635901524
4498,44.62308983958925,404.51465800039307
4499,44.50748679866438,404.5247594205596
4500,44.52293269437017,404.52000922816086
4501,44.62019798097411,404.5033688193114
4502,44.73169862342934,404.4843496116224
4503,44.83000642732383,404.4674057212593
4504,44.92921152981614,404.45256526492267
4505,45.019964919697436,404.444436178171
4506,45.04804944533968,404.45018453829493
4507,44.963717857793846,404.47087831669376
4508,44.77710688268585,404.50137652756257
4509,44.55605447887802,404.5341782759418
4510,44.36744089612061,404.55950412344316
4511,44.24429300443282,404.5686648063778
4512,44.208006479884894,404.5605026467725
4513,44.279461964388666,404.54063655113197
4514,44.45549003502067,404.51442536524985
4515,44.69714363576806,404.4836617963662
4516,44.9475767499383,404.4483561242248
4517,45.15344931104265,404.4079044348708
4518,45.27943046683373,404.3634989241455
4519,45.31571182560081,404.32124651678373
4520,45.278828559048435,404.28856601858
4521,45.207517796922424,404.2686562175316
4522,45.14153583431842,404.2623239912377
4523,45.1006287950333,404.2713333812577
4524,45.08090726974304,404.29421229331723
4525,45.0583907209247,404.3205271270562
4526,45.016437206265934,404.3358314946269
4527,44.970511145300755,404.3357916690961
4528,44.945724405208395,404.3316514412314
4529,44.9506263871434,404.33758437490656
4530,44.97468847242533,404.3568906052231
4531,44.989807286232576,404.3820276415087
4532,44.969443189447006,404.40158344031744
4533,44.9199661419248,404.4078141210215
4534,44.869940253134175,404.4029664752886
4535,44.8297685409037,404.39744590087133
4536,44.80115002334813,404.40029315762206
4537,44.81434106998415,404.41104537983847
4538,44.90507541679725,404.42108680792836
4539,45.06684197769404,404.4245978028371
4540,45.25953805874237,404.4240516834545
4541,45.42789188681975,404.42442132203803
4542,45.49657095685564,404.4285184504343
4543,45.412468811766516,404.4381967583914
4544,45.20993644177645,404.4556597002368
4545,44.99157522971335,404.47825084281703
4546,44.84051933414688,404.49492571477197
4547,44.773631405427196,404.4961325885934
4548,44.7628972731395,404.48275288391767
4549,44.768559967688375,404.4617418117058
4550,44.76037128860634,404.43976277728336
4551,44.73598050546394,404.42276050412715
4552,44.72167540532918,404.4164593221792
4553,44.74502117004257,404.4238612273883
4554,44.80991621513277,404.443760225165
4555,44.89683744414762,404.4718143436596
4556,44.969244162021475,404.5011536211439
4557,44.982768609017654,404.52539812137053
4558,44.91376273641771,404.54262034979166
4559,44.78701195486366,404.55261430633175
4560,44.669547814643835,404.55357058450517
4561,44.62419031444019,404.54571675397506
4562,44.650954319378286,404.530787008697
4563,44.68154401465993,404.50515100854693
4564,44.644696766133485,404.46252152900536
4565,44.529667980757814,404.4038203750189
4566,44.400115700946564,404.340726745861
4567,44.35988973580071,404.29041319082216
4568,44.48045502545024,404.26427643062124
4569,44.75273194753782,404.26149388834375
4570,45.10734998747063,404.2729237033527
4571,45.45698138551028,404.2883912769298
4572,45.727613531263316,404.3026798043034
4573,45.873607436777434,404.31573320242956
4574,45.87388403720962,404.3279619797637
4575,45.73585983816717,404.33889965043494
4576,45.50324977533749,404.34781742886065
4577,45.248505615089265,404.3522079052748
4578,45.056711181188504,404.3503072706773
4579,44.990744537354466,404.3466346262285
4580,45.05590302179015,404.34846042776735
4581,45.20939556548657,404.356963595847
4582,45.39517227403279,404.36730071282994
4583,45.561938503288374,404.3738850474443
4584,45.66931568983117,404.3739918789901
4585,45.694481922192416,404.3719783004156
4586,45.64038918277578,404.3762587350422
4587,45.53666561535432,404.3891597315969
4588,45.41342633283915,404.40649592284564
4589,45.26979772296,404.4242385223996
4590,45.08353202045677,404.4400567045342
4591,44.859891602865794,404.4516051647517
4592,44.65764979865056,404.4553847831086
4593,44.54193339893697,404.44932963923816
4594,44.52747038162821,404.4376938723478
4595,44.59307068262934,404.4294028132073
4596,44.714334371881094,404.43031175404155
4597,44.85801303420066,404.43896792748035
4598,44.98193994801663,404.44837079439844
4599,45.047203953045354,404.45119405087166
4600,45.01512145175162,404.4464348058699
4601,44.86023314940884,404.4410283964874
4602,44.60147272338353,404.4434829678345
4603,44.303581047869166,404.4557663480872
4604,44.04451509284951,404.4706053457637
4605,43.879082566815335,404.4772968997954
4606,43.820843269970126,404.4700000607455
4607,43.85901122797181,404.4517094756387
4608,43.98867730581713,404.4347761967708
4609,44.204202619069676,404.43586945403877
4610,44.47256098654252,404.46484732428826
4611,44.728797376129414,404.5162411473413
4612,44.88921322317318,404.57106973467546
4613,44.894169632497224,404.60916682296175
4614,44.7710708973136,404.62097387598754
4615,44.62554755911394,404.60860414828187
4616,44.53661218782376,404.58051726509166
4617,44.495016506061056,404.54430164947127
4618,44.469688745280436,404.50226642660704
4619,44.47984969172862,404.4563215077666
4620,44.560777263136565,404.4116677177558
4621,44.694006726974905,404.37249193257134
4622,44.81297091646058,404.34116013355265
4623,44.86918418161447,404.31852093343394
4624,44.869057597540554,404.30067269881937
4625,44.85397111526282,404.2826856547528
4626,44.865537416064775,404.2664026052842
4627,44.92721354522292,404.26045224920944
4628,45.04058164868728,404.2728408481488
4629,45.19134004444869,404.3048538927549
4630,45.35790933443978,404.3506750038394
4631,45.51113718779384,404.3991763592953
4632,45.61189517217208,404.43653588587654
4633,45.62374436291411,404.45184926587484
4634,45.53746229076022,404.4445658885156
4635,45.38555343177692,404.4253918524668
4636,45.22074745011084,404.4054104181263
4637,45.06862865421211,404.3860364874912
4638,44.92398489908364,404.3641301751202
4639,44.7932270998541,404.341814145008
4640,44.697723211742954,404.3240672637533
4641,44.64465049265962,404.31357975976294
4642,44.619646356378304,404.3141749516286
4643,44.59884221839441,404.3320366527525
4644,44.58534567277427,404.36993141419225
4645,44.63063858708999,404.42200252518677
4646,44.77548232405761,404.4740734485221
4647,44.98318673836607,404.50989304450303
4648,45.174689394644645,404.5180455851824
4649,45.31299711740993,404.49742178779854
4650,45.42639650328449,404.4612522341488
4651,45.56314691672723,404.43226190965504
4652,45.72306621593505,404.4273171888621
4653,45.828376619337625,404.44398056000085
4654,45.78299658444453,404.4647019634839
4655,45.56046755347496,404.4754724310306
4656,45.22600383825533,404.47440906191804
4657,44.87679941515531,404.4663703427559
4658,44.56774897010712,404.45908469214515
4659,44.31150971976431,404.45846030004384
4660,44.1245043080003,404.46242586953355
4661,44.02839999277901,404.4631137621441
4662,44.02933935484701,404.45531666989064
4663,44.12049862400958,404.4415957215421
4664,44.28338151368445,404.42878601936167
4665,44.49017315704298,404.42106653500747
4666,44.72321672965802,404.41701741444507
4667,44.97552963235855,404.4112954151612
4668,45.22768950686895,404.4005429889711
4669,45.44581928546225,404.3889081777874
4670,45.59318324102364,404.38564633581535
4671,45.633019009020245,404.3983739573698
4672,45.548092265837326,404.430241075748
4673,45.37519930152612,404.47821107017603
4674,45.204949839605916,404.5282417709275
4675,45.12197554509378,404.55742107828786
4676,45.14066991529175,404.5493030291549
4677,45.21168012112023,404.50548409892986
4678,45.28492943696976,404.44035154106956
4679,45.34981272322012,404.3705585373847
4680,45.4131343560209,404.3121452924014
4681,45.46034442598721,404.28092615293133
4682,45.4597143043285,404.2870905717474
4683,45.39467114295216,404.32756984054515
4684,45.27295793802739,404.38371192105876
4685,45.116255735461266,404.4290081979434
4686,44.95484936232235,404.44642427176865
4687,44.82288748507636,404.4381085821478
4688,44.75584317061347,404.4160279396304
4689,44.781970710853365,404.38924772684425
4690,44.902558066654564,404.3624380417941
4691,45.08414319331165,404.33984939352393
4692,45.26965372408413,404.3285326166295
4693,45.40128915278378,404.3386089034104
4694,45.44345365606833,404.375093161266
4695,45.38434826635912,404.4292150101045
4696,45.22581599206589,404.4842286213164
4697,44.99534291765618,404.5269569665277
4698,44.76173246599596,404.5474315238082
4699,44.61072831390531,404.53587519637983
4700,44.59420835910534,404.49104179862513
4701,44.708099195738036,404.42679663182224
4702,44.917945728114326,404.36430289412203
4703,45.177254972087844,404.319617073723
4704,45.42292312553894,404.3001415725938
4705,45.591686954810704,404.3094055812296
